fname	q1	q2	q3	q4	n	total_q	total	ci
10_A_0001	2463	2454	739	1947	0	7603	7603	0.1600683940549783
10_A_0002	2226	1652	3091	433	0	7402	7402	-0.281545528235612
10_A_0003	5763	782	2084	749	0	9378	9378	0.38878225634463637
10_O_0001	1608	1433	1157	438	0	4636	4636	-0.11734253666954271
10_O_0002	0	436	5093	249	129	5778	5907	-0.8938547486033519
10_O_0003	0	3145	2432	199	177	5776	5953	-0.903410045355283
11_A_0001	4146	1573	0	1085	0	6804	6804	0.5376249265138154
11_A_0002	1831	1507	2549	1367	0	7254	7254	-0.11827956989247312
11_A_0003	3336	1089	1574	2202	0	8201	8201	0.3505670040238995
11_O_0001	795	2497	4879	0	0	8171	8171	-0.8054093746175499
11_O_0002	798	3852	3642	103	0	8395	8395	-0.7853484216795712
11_O_0003	1163	1262	5297	350	0	8072	8072	-0.6251238850346879
12_A_0001	4064	0	925	479	721	5468	6189	0.5845855550169656
12_A_0002	1230	0	914	197	0	2341	2341	0.21913712088850917
12_O_0001	1723	1880	2272	665	338	6540	6878	-0.25646990404187264
1_A_0001	1639	0	802	870	0	3311	3311	0.5155542132286318
1_A_0002	2734	541	1008	771	0	5054	5054	0.38702018203403243
1_A_0003	2306	1350	1770	3558	140	8984	9124	0.3007452871547567
1_O_0001	1051	2932	535	0	0	4518	4518	-0.5347498893315626
1_O_0002	2530	864	2254	1459	0	7107	7107	0.12255522724074856
1_O_0003	1028	925	1509	0	0	3462	3462	-0.4061236279607163
2_0_0001	640	5619	1295	1633	178	9187	9365	-0.4955686065136145
2_0_0002	235	1776	2114	1549	0	5674	5674	-0.3711667254141699
2_0_0003	1337	2968	2294	1009	149	7608	7757	-0.3759185252030424
2_A_0001	1530	2219	1177	271	0	5197	5197	-0.3069078314412161
2_A_0002	3093	1601	2096	1148	0	7938	7938	0.06853111615016377
2_A_0003	2538	1077	1234	1056	354	5905	6259	0.2049848218565266
3_A_0001	1026	4067	379	1823	0	7295	7295	-0.21891706648389309
3_A_0002	733	2730	0	3629	219	7092	7311	0.2232252769798933
3_A_0003	1596	1155	1187	2904	0	6842	6842	0.31540485238234434
3_O_0001	569	1890	2549	466	0	5474	5474	-0.6218487394957983
3_O_0002	0	2545	2886	227	0	5658	5658	-0.9197596323789324
3_O_0003	2501	5499	1232	133	0	9365	9365	-0.4374799786438868
4_A_0001	6679	291	531	565	526	8066	8592	0.74743947858473
4_A_0002	5235	308	849	1931	838	8323	9161	0.6559327584324856
4_A_0003	7754	301	1874	477	0	10406	10406	0.5819719392658081
4_O_0001	162	6389	3119	0	258	9670	9928	-0.9413779210314263
4_O_0002	0	4452	2808	358	927	7618	8545	-0.8077238150965477
4_O_0003	2465	5467	1663	990	0	10585	10585	-0.3471894189891356
5_A_0001	1259	328	1997	3805	248	7389	7637	0.3586486840382349
5_A_0002	2613	938	1080	1355	418	5986	6404	0.30449718925671454
5_A_0003	2348	1668	1062	180	386	5258	5644	-0.03579021970233877
5_O_0001	434	1675	1893	476	0	4478	4478	-0.5935685573916927
5_O_0002	336	2558	1037	352	225	4283	4508	-0.6448535936113576
5_O_0003	1076	1178	1636	517	142	4407	4549	-0.2684106397010332
6_A_0001	1877	1559	1298	1382	375	6116	6491	0.06193190571560622
6_A_0002	1456	1969	2342	760	335	6527	6862	-0.3053045759253862
6_A_0003	1485	1279	1611	1790	118	6165	6283	0.06127646028967054
6_O_0001	0	1677	1586	147	336	3410	3746	-0.8318206086492258
6_O_0002	537	1139	1222	372	110	3270	3380	-0.42958579881656805
6_O_0003	753	1169	654	790	0	3366	3366	-0.08318478906714201
7_A_0001	4889	1804	192	786	180	7671	7851	0.4686027257674182
7_A_0002	4159	1107	1202	1332	0	7800	7800	0.40794871794871795
7_A_0003	4627	1427	2004	1750	0	9808	9808	0.30036704730831976
7_O_0001	671	5804	1590	0	0	8065	8065	-0.8336019838809672
7_O_0002	264	3540	1829	383	0	6016	6016	-0.784906914893617
7_O_0003	411	6318	1089	0	0	7818	7818	-0.8948580199539524
8_A_0001	1772	1922	647	1291	0	5632	5632	0.08771306818181818
8_A_0002	1164	2524	257	3289	147	7234	7381	0.22652757078986588
8_O_0001	436	641	4696	1218	166	6991	7157	-0.5146010898421126
8_O_0002	2506	1550	2981	0	0	7037	7037	-0.28776467244564446
8_O_0003	435	4910	1563	0	0	6908	6908	-0.8740590619571511
9_A_0001	2327	1476	1913	619	314	6335	6649	-0.06662656038502031
9_A_0002	687	1165	1531	743	0	4126	4126	-0.30683470673776053
9_A_0003	1732	827	1492	997	0	5048	5048	0.0812202852614897
9_O_0001	713	0	2503	365	0	3581	3581	-0.39793353811784415
9_O_0002	142	1032	2595	406	206	4175	4381	-0.702807578178498
9_O_0003	551	1306	2764	331	0	4952	4952	-0.6437802907915994
