fname	q1	q2	q3	q4	n	total_q	total	ci
10_A_0001	533	0	1292	4317	197	6142	6339	0.5612872692853762
10_A_0002	3894	0	1823	616	359	6333	6692	0.4015242080095637
10_A_0003	455	0	1121	5045	420	6621	7041	0.621928703309189
10_O_0001	691	1719	1602	832	165	4844	5009	-0.35895388301058095
10_O_0002	1445	1225	3246	163	97	6079	6176	-0.4635686528497409
10_O_0003	217	1806	2754	2001	630	6778	7408	-0.31614470842332615
11_A_0001	229	2621	394	1761	0	5005	5005	-0.2047952047952048
11_A_0002	990	1857	200	3159	0	6206	6206	0.3370931356751531
11_A_0003	2304	2441	391	2560	0	7696	7696	0.26403326403326405
11_O_0001	503	4086	1073	333	462	5995	6457	-0.6695059625212947
11_O_0002	699	2518	1632	529	0	5378	5378	-0.5433246560059501
11_O_0003	286	4118	552	226	503	5182	5685	-0.7313984168865435
12_A_0001	4945	0	1063	0	0	6008	6008	0.6461384820239681
12_A_0002	1906	1936	704	4620	178	9166	9344	0.4158818493150685
12_A_0003	3917	247	1534	207	552	5905	6457	0.3628620102214651
12_O_0001	1434	1128	3401	992	182	6955	7137	-0.294661622530475
12_O_0002	919	1189	3410	0	626	5518	6144	-0.5989583333333334
12_O_0003	1591	1612	2765	172	188	6140	6328	-0.41308470290771176
1_A_0001	3157	443	255	2853	467	6708	7175	0.7403484320557492
1_A_0002	2030	2733	361	2536	0	7660	7660	0.19216710182767624
1_A_0003	1964	1374	682	2026	0	6046	6046	0.3198809130003308
1_O_0001	1343	3240	833	531	309	5947	6256	-0.351502557544757
1_O_0002	943	2027	1283	792	256	5045	5301	-0.29711375212224106
1_O_0003	984	3587	707	1083	185	6361	6546	-0.34020776046440576
2_A_0001	1753	1279	366	3571	320	6969	7289	0.5047331595554946
2_A_0002	3392	2406	475	3004	112	9277	9389	0.3743742677601449
2_A_0003	1412	310	266	4860	103	6848	6951	0.8194504387857863
2_O_0001	449	3903	1645	54	0	6051	6051	-0.8337464881837713
2_O_0002	487	2013	1327	1313	0	5140	5140	-0.29961089494163423
2_O_0003	318	4785	616	0	217	5719	5936	-0.856300539083558
3_A_0001	4526	566	1113	575	61	6780	6841	0.5002192661891536
3_A_0002	1901	2764	553	2678	179	7896	8075	0.15628482972136223
3_A_0003	394	5299	0	659	0	6352	6352	-0.6684508816120907
3_O_0001	1739	3891	1676	0	155	7306	7461	-0.5130679533574588
3_O_0002	1989	5362	2037	261	207	9649	9856	-0.5224228896103896
3_O_0003	1035	3502	1137	195	101	5869	5970	-0.5710217755443886
4_A_0001	3508	4503	0	1625	187	9636	9823	0.06413519291458822
4_A_0002	2075	2866	242	1180	140	6363	6503	0.022604951560818085
4_A_0003	3301	3235	0	1180	0	7716	7716	0.16148263348885433
4_O_0001	284	4537	332	432	0	5585	5585	-0.7435989256938227
4_O_0002	688	5830	513	242	229	7273	7502	-0.7215409224206878
4_O_0003	1073	6073	205	573	0	7924	7924	-0.5845532559313478
6_A_0001	5321	1335	458	686	0	7800	7800	0.5402564102564102
6_A_0002	10169	1291	2004	497	467	13961	14428	0.5108816190740227
6_A_0003	5331	190	1081	981	0	7583	7583	0.6647764736911512
6_O_0001	2326	1994	1164	687	1137	6171	7308	-0.01984126984126984
6_O_0002	1831	1929	2441	260	0	6461	6461	-0.3527317752669865
6_O_0003	2109	2966	1297	0	0	6372	6372	-0.3380414312617702
7_A_0001	2387	553	2692	1286	0	6918	6918	0.06186759178953455
7_A_0002	405	902	758	3867	316	5932	6248	0.4180537772087068
7_A_0003	3094	719	2150	1152	518	7115	7633	0.18040089086859687
7_O_0001	289	6560	0	627	699	7476	8175	-0.6903975535168195
7_O_0002	550	4779	228	686	487	6243	6730	-0.5603268945022288
7_O_0003	309	7158	0	274	216	7741	7957	-0.826316450923715
8_A_0001	6037	234	953	928	106	8152	8258	0.699685153790264
8_A_0002	4399	237	197	1621	668	6454	7122	0.7843302443133952
8_A_0003	5221	2008	546	392	464	8167	8631	0.3544201135442011
8_O_0001	140	4281	1774	0	178	6195	6373	-0.9281343166483603
8_O_0002	221	1887	4844	180	192	7132	7324	-0.8642818132168214
8_O_0003	364	2975	2455	315	0	6109	6109	-0.7777050253724014
9_A_0001	8253	0	379	287	0	8919	8919	0.9150128938221773
9_A_0002	4704	205	1622	463	0	6994	6994	0.4775521875893623
9_A_0003	5865	1810	0	1892	0	9567	9567	0.6216159715689349
9_O_0001	228	9244	0	0	0	9472	9472	-0.9518581081081081
9_O_0002	150	218	8320	0	0	8688	8688	-0.9654696132596685
9_O_0003	1374	5738	1207	0	51	8319	8370	-0.6655913978494624
