fname	q1	q2	q3	q4	n	total_q	total	ci
10_A_0001	3058	1998	2957	1458	187	9471	9658	-0.045454545454545456
10_A_0002	4485	3470	798	1412	47	10165	10212	0.15951821386603995
10_A_0003	3110	1597	542	1910	0	7159	7159	0.4024305070540578
10_O_0001	1124	1744	5324	0	0	8192	8192	-0.7255859375
10_O_0002	1292	6862	727	281	225	9162	9387	-0.6408863321614999
10_O_0003	1905	1654	2105	122	0	5786	5786	-0.29934324230902176
11_A_0001	3891	1010	758	2359	194	8018	8212	0.5457866536775451
11_A_0002	2706	1959	1177	2094	0	7936	7936	0.20967741935483872
11_A_0003	3631	1272	1154	1829	0	7886	7886	0.38473243723053513
11_O_0001	1151	2340	3154	547	120	7192	7312	-0.5191466083150985
11_O_0002	1896	1621	2302	272	0	6091	6091	-0.2881300279100312
11_O_0003	5205	3491	1061	552	375	10309	10684	0.11278547360539123
12_A_0001	5382	3350	946	2207	143	11885	12028	0.2737778516794147
12_A_0002	2931	2553	281	5736	356	11501	11857	0.49194568609260353
12_A_0003	2796	1588	259	3434	303	8077	8380	0.5230310262529833
12_O_0001	1385	3710	4176	289	284	9560	9844	-0.6310442909386428
12_O_0002	1062	3521	4806	327	530	9716	10246	-0.6771422994339255
12_O_0003	1878	2233	5208	0	0	9319	9319	-0.5969524627105912
1_A_0001	5064	2574	831	985	0	9454	9454	0.27966998096044005
1_A_0002	2600	3709	424	4247	363	10980	11343	0.23926650797848895
1_A_0003	4324	641	1929	493	0	7387	7387	0.30418302423175847
1_O_0001	774	542	4348	603	0	6267	6267	-0.5605552896122546
1_O_0002	2442	4839	485	163	0	7929	7929	-0.34291840080716357
1_O_0003	610	8295	1599	264	0	10768	10768	-0.837667161961367
2_A_0001	4852	4654	567	766	0	10839	10839	0.03662699511025002
2_A_0002	3226	1424	1172	2603	0	8425	8425	0.3837388724035608
2_A_0003	3208	4365	1555	2394	0	11522	11522	-0.02759937510848811
2_O_0001	1320	4526	1029	1251	159	8126	8285	-0.36016898008449005
2_O_0002	1295	2921	1854	845	0	6915	6915	-0.3810556760665221
2_O_0003	1266	2294	2924	741	135	7225	7360	-0.4362771739130435
3_A_0001	4490	1125	1774	622	0	8011	8011	0.2762451629010111
3_A_0002	2771	1468	1092	1779	21	7110	7131	0.2790632449866779
3_A_0003	2963	3967	661	2011	0	9602	9602	0.03603415955009373
3_O_0001	2442	2909	2623	265	0	8239	8239	-0.3428814176477728
3_O_0002	1236	2484	1510	0	486	5230	5716	-0.4825052484254724
3_O_0003	1529	3147	2999	583	390	8258	8648	-0.4664662349676226
4_A_0001	4088	1722	1733	3486	0	11029	11029	0.37346994287786744
4_A_0002	4666	548	1614	2314	0	9142	9142	0.527018157952308
4_A_0003	4632	1753	1712	2591	0	10688	10688	0.3516092814371258
4_O_0001	913	3611	3259	293	475	8076	8551	-0.6623786691615016
4_O_0002	860	5511	779	0	0	7150	7150	-0.7594405594405594
4_O_0003	1165	5624	2764	0	213	9553	9766	-0.7396067990989146
5_A_0001	3839	1800	189	1648	715	7476	8191	0.42705408375045784
5_A_0002	4331	856	845	158	0	6190	6190	0.45040387722132474
5_A_0003	4981	986	1271	857	0	8095	8095	0.4423718344657196
5_O_0001	1362	416	3167	0	0	4945	4945	-0.44914054600606673
5_O_0002	1366	3209	1166	768	619	6509	7128	-0.3143939393939394
5_O_0003	999	4789	839	263	463	6890	7353	-0.5937712498300014
6_A_0001	2807	2763	1124	1571	0	8265	8265	0.05940713853599516
6_A_0002	4746	942	663	1928	0	8279	8279	0.6122720135282039
6_A_0003	3316	2782	1123	1574	0	8795	8795	0.11199545196134167
6_O_0001	3163	2187	1561	0	0	6911	6911	-0.08464766314570973
6_O_0002	1258	5574	207	403	47	7442	7489	-0.5501402056349313
6_O_0003	1071	2964	739	165	0	4939	4939	-0.4994938246608625
8_A_0001	6344	3004	421	1065	196	10834	11030	0.3611967361740707
8_A_0002	6205	1661	793	1499	314	10158	10472	0.5013368983957219
8_A_0003	7542	0	1342	232	114	9116	9230	0.6968580715059588
8_O_0001	1993	8259	783	0	339	11035	11374	-0.6197467909266748
8_O_0002	811	4980	3404	460	235	9655	9890	-0.719211324570273
8_O_0003	778	7451	1407	0	377	9636	10013	-0.8069509637471287
9_A_0001	5773	2160	1193	1279	168	10405	10573	0.34985340017024497
9_A_0002	5120	2490	951	1852	369	10413	10782	0.3274902615470228
9_A_0003	6798	1461	261	578	0	9098	9098	0.6214552648933832
9_O_0001	906	4474	753	0	0	6133	6133	-0.70454916028045
9_O_0002	1011	7449	973	0	0	9433	9433	-0.7856461359058624
9_O_0003	1299	4867	782	0	102	6948	7050	-0.6170212765957447
